17.11.2022;73.03
16.11.2022;73.14
15.11.2022;75.27
14.11.2022;76.59
11.11.2022;77.8
10.11.2022;75.83
09.11.2022;75.83
08.11.2022;80.37
07.11.2022;82.78
04.11.2022;80.02
03.11.2022;77.37
02.11.2022;78.4
01.11.2022;76.73
31.10.2022;75.04
28.10.2022;75.81
27.10.2022;75.8
26.10.2022;74.31
25.10.2022;73.14
24.10.2022;72.95
21.10.2022;72.57
20.10.2022;74.17
19.10.2022;71.09
18.10.2022;69.92
17.10.2022;72.57
14.10.2022;74.44
13.10.2022;75.91
12.10.2022;75.05
11.10.2022;76.5
10.10.2022;79.51
07.10.2022;80.06
06.10.2022;76.91
05.10.2022;75.95
04.10.2022;75.31
03.10.2022;71.61
30.09.2022;70.4
29.09.2022;71.02
28.09.2022;70.01
27.09.2022;67.37
26.09.2022;65.7
23.09.2022;66.39
22.09.2022;72.17
21.09.2022;71.12
20.09.2022;70.71
19.09.2022;71.81
16.09.2022;71.81
15.09.2022;70.55
14.09.2022;74.74
13.09.2022;73.04
12.09.2022;75.38
09.09.2022;71.98
07.09.2022;69.78
06.09.2022;73.14
05.09.2022;75.99
02.09.2022;75.79
01.09.2022;74.02
31.08.2022;78.14
30.08.2022;81.45
29.08.2022;80.77
26.08.2022;80.77
25.08.2022;81.95
24.08.2022;79.8
23.08.2022;80.18
22.08.2022;74.85
19.08.2022;78.07
18.08.2022;77.51
17.08.2022;77.92
16.08.2022;67.08
15.08.2022;68.16
12.08.2022;74.52
11.08.2022;77.5
10.08.2022;74.27
09.08.2022;75.8
08.08.2022;74.42
05.08.2022;72.18
04.08.2022;68.88
03.08.2022;74.74
02.08.2022;77.4
01.08.2022;76.54
29.07.2022;82.81
28.07.2022;81.34
27.07.2022;80.86
26.07.2022;79.42
25.07.2022;78.8
22.07.2022;79.79
21.07.2022;84.2
20.07.2022;86.53
19.07.2022;84.33
18.07.2022;88.02
15.07.2022;83.89
14.07.2022;75.39
13.07.2022;78.14
12.07.2022;79.22
11.07.2022;85.15
08.07.2022;84.87
07.07.2022;85.29
06.07.2022;79.76
05.07.2022;81.48
04.07.2022;92.87
01.07.2022;89.53
30.06.2022;90.99
29.06.2022;93.92
28.06.2022;92.34
27.06.2022;90.62
24.06.2022;89.2
23.06.2022;86.73
22.06.2022;85.82
21.06.2022;89.63
20.06.2022;88.91
17.06.2022;91.35
16.06.2022;94.82
15.06.2022;98.24
14.06.2022;101.75
13.06.2022;98.01
10.06.2022;97.79
09.06.2022;100.2
08.06.2022;99.23
07.06.2022;97.53
06.06.2022;95.94
03.06.2022;96.73
02.06.2022;96.5
01.06.2022;94.53
31.05.2022;98.03
30.05.2022;92.83
27.05.2022;90.75
26.05.2022;90.71
25.05.2022;87.13
24.05.2022;86.84
23.05.2022;86.13
20.05.2022;84.45
19.05.2022;82.22
18.05.2022;81.61
17.05.2022;86.75
16.05.2022;84.13
13.05.2022;82.32
12.05.2022;79.68
11.05.2022;78.71
10.05.2022;75.24
09.05.2022;78.08
06.05.2022;85.71
05.05.2022;83.51
04.05.2022;79.94
03.05.2022;76.99
02.05.2022;79.41
29.04.2022;79.41
28.04.2022;75.68
27.04.2022;73.38
26.04.2022;73.01
25.04.2022;67.91
22.04.2022;76.4
21.04.2022;78.01
20.04.2022;76.28
19.04.2022;76.61
18.04.2022;78.15
15.04.2022;78.15
14.04.2022;78.15
13.04.2022;77.54
12.04.2022;76.15
11.04.2022;69.53
08.04.2022;70.89
07.04.2022;69.8
06.04.2022;75.04
05.04.2022;78.07
04.04.2022;79.72
01.04.2022;81.83
31.03.2022;82.91
30.03.2022;90.45
29.03.2022;86.92
28.03.2022;90.24
25.03.2022;97.81
24.03.2022;99.89
23.03.2022;101.81
